salinity temperature pH
34.719223 29.881624 8.024823
34.10365 29.384825 8.03518
32.874577 29.775923 8.037647
33.47004 27.68994 8.049221
34.24137 25.842232 8.056825
34.97444 24.132383 8.08313
35.152008 22.701586 8.082341
35.52602 23.125666 8.07136
35.577694 24.114256 8.083401
35.392483 26.854427 8.04335
35.50521 27.742329 8.041916
35.32867 29.681005 8.042722
35.163677 29.854351 8.027594
34.91888 29.702114 8.029211
34.650806 29.177233 8.045348
34.02212 27.69885 8.082264
33.92092 25.988932 8.086229
34.532784 24.861984 8.073837
35.033226 24.000772 8.071379
35.389786 23.952541 8.084754
35.40887 25.069357 8.077756
35.436756 25.886452 8.066908
35.29609 27.394178 8.053168
35.372375 28.764801 8.03056
35.258076 29.431545 8.022285
35.158623 29.970343 8.022614
34.936367 29.735727 8.041205
34.422035 28.261497 8.077799
34.59715 26.377367 8.074139
34.91326 24.695238 8.07052
35.175777 23.685787 8.061035
35.316708 24.544703 8.077691
35.469692 25.057747 8.06874
35.44756 26.222603 8.053716
35.465977 27.669836 8.028728
35.399223 28.31236 8.020845
35.25157 28.964705 8.018146
34.17378 29.078827 8.034452
34.242477 28.247814 8.0499935
34.147408 27.399956 8.049422
34.428783 26.259584 8.050436
34.762863 24.663532 8.053643
35.271225 23.598158 8.069746
35.382984 23.712965 8.0739155
35.529766 24.41756 8.05827
35.571167 25.512718 8.04619
35.460705 26.90652 8.043407
35.480545 29.171022 8.006182
35.216885 29.38618 8.006497
34.876686 29.360142 8.025822
34.48516 29.186346 8.040833
34.534393 28.086983 8.051284
35.048393 26.42437 8.06239
35.420742 24.821003 8.072471
35.55644 23.830326 8.07269
35.49084 24.101845 8.065166
35.55638 25.481867 8.061512
35.744015 25.640324 8.038204
35.643257 27.623417 8.016982
35.364574 28.709293 8.015736
35.15514 29.987999 7.9980288
35.153286 30.376755 7.999899
34.809635 30.797216 8.022185
34.490166 28.669065 8.065078
34.495056 27.232912 8.065401
34.80455 26.33217 8.059598
35.05998 25.065079 8.059792
35.17062 24.141247 8.056865
35.352753 25.628857 8.043046
35.464386 26.813622 8.038976
35.519306 27.929312 8.022727
35.557533 28.61885 8.013926
