salinity temperature pH
34.82615 29.707172 8.024659
34.38517 29.432022 8.035368
33.328865 29.777866 8.037636
34.151855 27.867819 8.053393
34.696964 26.310839 8.068069
35.21423 25.01057 8.097173
35.346718 23.348347 8.109312
35.545113 23.82329 8.109442
35.438217 24.586193 8.099551
35.3468 26.629524 8.070978
35.458183 27.614914 8.060779
35.175625 29.403889 8.051748
35.02579 29.561724 8.038024
34.94018 29.202057 8.048312
34.69296 29.036045 8.058332
34.43203 27.811047 8.078838
34.607327 26.281916 8.083888
34.910454 25.475807 8.080809
35.055958 24.728802 8.082627
35.20852 24.604208 8.102032
35.2306 25.132833 8.097053
35.19142 25.846266 8.082656
35.126343 27.25369 8.070222
35.21347 28.248623 8.045767
35.18608 28.721363 8.049055
35.01923 29.489496 8.03882
34.91705 29.463356 8.042366
34.75976 28.195509 8.070109
34.89911 26.634563 8.078032
35.04856 25.584312 8.072713
35.24788 24.454687 8.083611
35.211445 25.214365 8.087851
35.34167 25.172438 8.089094
35.3453 25.99629 8.069282
35.226837 27.46951 8.048282
35.231777 28.082054 8.0408945
35.10053 28.783255 8.041476
34.475716 28.883205 8.043418
34.69658 28.209356 8.055468
34.69707 27.60013 8.053413
34.872498 26.487429 8.065631
35.00182 25.210945 8.074693
35.227913 24.398624 8.089455
35.307945 24.230543 8.090696
35.369984 24.590199 8.085212
35.34564 25.456676 8.07515
35.27721 26.70075 8.055331
35.229214 28.727526 8.02584
35.166237 28.831764 8.02949
34.967487 29.206766 8.032786
34.743137 29.073914 8.039949
34.867405 27.857698 8.054386
35.063362 26.530436 8.065827
35.30775 25.29462 8.07483
35.406185 24.378616 8.085984
35.318974 24.647234 8.085617
35.31352 25.51466 8.073918
35.457397 25.497118 8.060366
35.41288 26.982252 8.05581
35.274323 28.295956 8.035312
35.12568 29.47626 8.015725
35.11981 30.098658 8.017046
34.83601 30.67281 8.025132
34.79876 28.846695 8.057002
34.876717 27.636612 8.059384
35.094635 26.723269 8.0608
35.24051 25.720081 8.064267
35.315758 24.868608 8.0766535
35.33159 25.88928 8.067286
35.357643 26.459091 8.06501
35.31507 27.68824 8.050133
35.373653 28.434174 8.037625
