id	modified	bibliographicCitation	references	institutionCode	collectionCode	basisOfRecord	materialSampleID	occurrenceID	catalogNumber	occurrenceRemarks	recordNumber	recordedBy	individualCount	organismQuantity	organismQuantityType	sex	lifeStage	occurrenceStatus	preparations	otherCatalogNumbers	associatedReferences	organismID	associatedOccurrences	eventID	samplingProtocol	sampleSizeValue	sampleSizeUnit	eventDate	eventTime	year	month	verbatimEventDate	fieldNumber	waterBody	country	stateProvince	county	locality	minimumDepthInMeters	maximumDepthInMeters	decimalLatitude	decimalLongitude	coordinateUncertaintyInMeters	coordinatePrecision	footprintWKT	identifiedBy	dateIdentified	identificationReferences	identificationRemarks	identificationQualifier	typeStatus	scientificNameID	taxonConceptID	scientificName	kingdom	phylum	class	family	genus	subgenus	specificEpithet	infraspecificEpithet	taxonRank	scientificNameAuthorship	vernacularName
F41E9485-F654-4E3C-A386-8661C5928617	2018-07-13T09:31:54			AIMS	CReefs - Lizard Island 2009	HumanObservation		F41E9485-F654-4E3C-A386-8661C5928617	F41E9485-F654-4E3C-A386-8661C5928617					1	individuals			present										2009-02-27							Australia				30	30	-14.50239	145.5589	200	0.0018	POINT (145.55890 -14.50239)							urn:lsid:marinespecies.org:taxname:534100		Abdopus abaculus	Animalia	Mollusca	Cephalopoda	Octopodidae	Abdopus				species	(Norman & Sweeney, 1997)	
{95143448-F933-473A-92D0-9BAE3420F32C}	2018-07-13T09:31:54			AIMS	CReefs - Lizard Island 2009	HumanObservation		{95143448-F933-473A-92D0-9BAE3420F32C}	{95143448-F933-473A-92D0-9BAE3420F32C}					1	individuals			present										2009-02-27							Australia				7.5	7.5	-14.45441	145.5043	200	0.0018	POINT (145.50430 -14.45441)							urn:lsid:marinespecies.org:taxname:213289		Acanthaster planci	Animalia	Echinodermata	Asteroidea	Acanthasteridae	Acanthaster				species	(Linnaeus, 1758)	
{FFF77011-D65E-4958-A98F-D5F494EFA768}	2018-07-13T09:31:54			AIMS	CReefs - Lizard Island 2010	HumanObservation		{FFF77011-D65E-4958-A98F-D5F494EFA768}	{FFF77011-D65E-4958-A98F-D5F494EFA768}					1	individuals			present										2010							Australia				17	17	-14.64745	145.4525	200	0.0018	POINT (145.45250 -14.64745)							urn:lsid:marinespecies.org:taxname:211768		Acanthophora spicifera	Plantae	Rhodophyta	Florideophyceae	Rhodomelaceae	Acanthophora				species	(M.Vahl) BÃ¸rgesen, 1910	
{FD69BEA2-0AC8-46E2-A5B9-4CA889825590}	2018-07-13T09:31:54			AIMS	CReefs - Lizard Island 2010	HumanObservation		{FD69BEA2-0AC8-46E2-A5B9-4CA889825590}	{FD69BEA2-0AC8-46E2-A5B9-4CA889825590}					1	individuals			present										2010							Australia				10	10	-14.76362	145.3362	200	0.0018	POINT (145.33620 -14.76362)							urn:lsid:marinespecies.org:taxname:211768		Acanthophora spicifera	Plantae	Rhodophyta	Florideophyceae	Rhodomelaceae	Acanthophora				species	(M.Vahl) BÃ¸rgesen, 1910	
{B2361D16-906C-4252-8A84-432B1DE4B4B5}	2018-07-13T09:31:54			AIMS	CReefs - Lizard Island 2010	HumanObservation		{B2361D16-906C-4252-8A84-432B1DE4B4B5}	{B2361D16-906C-4252-8A84-432B1DE4B4B5}					1	individuals			present										2010							Australia				12	12	-14.66135	145.4716	200	0.0018	POINT (145.47160 -14.66135)							urn:lsid:marinespecies.org:taxname:211768		Acanthophora spicifera	Plantae	Rhodophyta	Florideophyceae	Rhodomelaceae	Acanthophora				species	(M.Vahl) BÃ¸rgesen, 1910	
{05E124CE-D35B-4F34-9C33-80D24FD11920}	2018-07-13T09:31:54			AIMS	CReefs - Lizard Island 2010	HumanObservation		{05E124CE-D35B-4F34-9C33-80D24FD11920}	{05E124CE-D35B-4F34-9C33-80D24FD11920}					1	individuals			present										2010							Australia				4	4	-14.78033	145.33929	200	0.0018	POINT (145.33929 -14.78033)							urn:lsid:marinespecies.org:taxname:211768		Acanthophora spicifera	Plantae	Rhodophyta	Florideophyceae	Rhodomelaceae	Acanthophora				species	(M.Vahl) BÃ¸rgesen, 1910	
C2F59554-1AFB-4F10-8CAC-1282E1A426F5	2018-07-13T09:31:54			AIMS	CReefs - Lizard Island 2008	HumanObservation		C2F59554-1AFB-4F10-8CAC-1282E1A426F5	C2F59554-1AFB-4F10-8CAC-1282E1A426F5					1	individuals			present										2008-04-22							Australia				9	9	-14.68708	145.46556	200	0.0018	POINT (145.46556 -14.68708)							urn:lsid:marinespecies.org:taxname:211768		Acanthophora spicifera	Plantae	Rhodophyta	Florideophyceae	Rhodomelaceae	Acanthophora				species	(M.Vahl) BÃ¸rgesen, 1910	
B1C0884D-6BEC-45F5-9C92-C9EEA065F5DC	2018-07-13T09:31:54			AIMS	CReefs - Lizard Island 2009	HumanObservation		B1C0884D-6BEC-45F5-9C92-C9EEA065F5DC	B1C0884D-6BEC-45F5-9C92-C9EEA065F5DC					3	individuals			present										2009-02-27							Australia				11	11	-14.74291	145.51427	200	0.0018	POINT (145.51427 -14.74291)							urn:lsid:marinespecies.org:taxname:211768		Acanthophora spicifera	Plantae	Rhodophyta	Florideophyceae	Rhodomelaceae	Acanthophora				species	(M.Vahl) BÃ¸rgesen, 1910	
83D15693-2411-403A-AD83-43E7B514C98E	2018-07-13T09:31:54			AIMS	CReefs - Lizard Island 2009	HumanObservation		83D15693-2411-403A-AD83-43E7B514C98E	83D15693-2411-403A-AD83-43E7B514C98E					2	individuals			present										2009-02-27							Australia				12	12	-14.74981	145.5098	200	0.0018	POINT (145.50980 -14.74981)							urn:lsid:marinespecies.org:taxname:240271		Achelia assimilis	Animalia	Arthropoda	Pycnogonida	Ammotheidae	Achelia				species	(Haswell, 1885)	
242427A7-7A96-41F7-9A99-FF23A395B8D2	2018-07-13T09:31:54			AIMS	CReefs - Lizard Island 2009	HumanObservation		242427A7-7A96-41F7-9A99-FF23A395B8D2	242427A7-7A96-41F7-9A99-FF23A395B8D2					1	individuals			present										2009-02-27							Australia				17	17	-14.4995	145.5564	200	0.0018	POINT (145.55640 -14.49950)							urn:lsid:marinespecies.org:taxname:240271		Achelia assimilis	Animalia	Arthropoda	Pycnogonida	Ammotheidae	Achelia				species	(Haswell, 1885)	
