ReefID,ReefName,Longitude,Latitude,BleachingCategory,DateSurveyed
09-245d,U/N Foreshore,142.1654676,-9.934550145,4,11/04/2016
09-246,Mabuiag Reef,142.2201762,-10.00593397,4,11/04/2016
09-249b,U/N Foreshore,142.187549,-9.931314078,4,11/04/2016
09-251j,U/N Reef,142.1749855,-9.93968978,3,11/04/2016
09-251j,U/N Reef,142.1938308,-9.944829416,4,11/04/2016
09-252,U/N Island,142.176889,-9.93664407,4,11/04/2016
09-255d,U/N Reef,142.2083741,-9.955489401,4,11/04/2016
09-256b,U/N Reef,142.2106583,-9.945781201,4,11/04/2016
09-258c,U/N Reef,142.213704,-9.965197602,4,11/04/2016
09-258d,U/N Reef,142.216369,-9.972811878,4,11/04/2016
09-258e,U/N Reef,142.2146558,-9.968814383,4,11/04/2016
09-259,Ngie Reef,142.2183122,-9.937153922,4,11/04/2016
09-260a,U/N Reef,142.2367372,-9.977190086,4,11/04/2016
09-270,Numar Reef,142.3604512,-9.6809328,4,11/04/2016
09-279,Anui Reef,142.2753005,-9.916348677,4,11/04/2016
09-279a,Anui Reef,142.2605257,-9.903383089,4,11/04/2016
09-279b,Anui Reef,142.2676116,-9.907755205,4,11/04/2016
09-281,Gariar Reef,142.3223384,-9.885593096,4,11/04/2016
09-283b,U/N Reef,142.3154033,-9.857098955,4,11/04/2016
09-285,Kuradhwa Dhadan Lag,142.3365101,-9.867501578,4,11/04/2016
09-288,Buin Dhadua Lag,142.3562299,-9.859631768,4,11/04/2016
09-289,U/N Reef,142.3470334,-9.837318896,4,11/04/2016
09-290,Kai (Piliu Kuth) Reef,142.4073384,-9.776531396,3,11/04/2016
09-291,Beka Reef,142.3883423,-9.742157511,3,11/04/2016
09-319,Mourilyan Reef,142.6335275,-9.804353424,4,11/04/2016
09-321a,U/N Reef,142.6367993,-9.75973853,4,11/04/2016
09-329,U/N Island,142.7162138,-9.835286417,4,11/04/2016
09-331,Sereu Rock,142.7428637,-9.870532183,4,11/04/2016
09-332e,Yam (Iama) Island Reef,142.7684429,-9.893434496,4,11/04/2016
09-355,Wapa Reef,143.130404,-9.481016,4,24/03/2016
09-356,U/N Reef,143.1536505,-9.552059015,4,24/03/2016
09-357,Mutacomai and Dagagota Reefs,143.197677,-9.285727,4,24/03/2016
